,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,left,salary_high,salary_low,salary_medium
5,0.41,0.5,2,153,3,0,0,1,0,1,0
6,0.1,0.77,6,247,4,0,0,1,0,1,0
16,0.45,0.47,2,160,3,0,0,1,0,1,0
21,0.38,0.55,2,147,3,0,0,1,0,1,0
30,0.09,0.62,6,294,4,0,0,1,0,1,0
33,0.45,0.55,2,140,3,0,0,1,0,1,0
37,0.45,0.5,2,126,3,0,0,1,0,1,0
46,0.4,0.55,2,147,3,0,0,1,0,1,0
55,0.37,0.46,2,140,3,0,0,1,0,1,0
59,0.85,1.0,4,225,5,0,0,1,0,1,0
66,0.43,0.54,2,153,3,0,0,1,0,0,1
72,0.45,0.49,2,149,3,0,0,1,1,0,0
76,0.1,0.83,6,295,4,0,0,1,0,0,1
82,0.79,0.59,4,139,3,0,1,1,0,1,0
87,0.44,0.45,2,132,3,0,0,1,0,1,0
90,0.4,0.5,2,130,3,0,0,1,0,1,0
97,0.1,0.84,6,279,4,0,0,1,0,1,0
110,0.43,0.47,2,144,3,0,0,1,0,0,1
115,0.37,0.48,2,137,3,0,0,1,0,0,1
120,0.14,0.62,4,158,4,1,0,1,0,1,0
123,0.11,0.84,6,300,5,1,0,1,0,1,0
124,0.46,0.49,2,138,3,0,0,1,0,1,0
129,0.37,0.45,2,151,3,0,0,1,0,1,0
131,0.38,0.57,2,140,3,0,0,1,0,1,0
142,0.11,0.8,6,256,4,0,0,1,0,1,0
143,0.37,0.47,2,152,3,0,0,1,0,1,0
154,0.39,0.48,2,160,3,0,0,1,0,1,0
156,0.83,1.0,5,240,5,0,0,1,0,1,0
159,0.45,0.45,2,132,3,0,0,1,0,1,0
161,0.9,0.98,5,243,6,0,0,1,0,1,0
178,0.37,0.51,2,127,3,0,0,1,0,0,1
185,0.4,0.46,2,127,3,0,0,1,0,0,1
198,0.1,0.89,7,285,4,0,0,1,0,1,0
209,0.38,0.52,2,153,3,0,0,1,0,1,0
229,0.78,0.98,5,239,6,0,0,1,0,1,0
234,0.48,0.57,4,270,4,0,0,1,0,1,0
239,0.1,0.97,7,254,4,0,0,1,0,1,0
263,0.11,0.78,6,260,4,0,0,1,0,0,1
265,0.84,0.93,4,251,5,0,0,1,0,0,1
269,0.38,0.86,6,139,6,0,0,1,0,0,1
273,0.09,0.96,6,296,4,0,0,1,0,1,0
276,0.1,0.97,6,267,4,1,0,1,0,1,0
277,0.74,0.89,5,229,6,0,0,1,0,1,0
278,0.09,0.78,6,254,4,0,0,1,0,1,0
280,0.1,0.98,6,268,4,0,0,1,0,1,0
299,0.74,0.84,5,249,5,0,0,1,0,0,1
307,0.11,0.81,5,287,4,0,0,1,0,1,0
308,0.41,0.48,2,145,3,0,0,1,0,0,1
310,0.1,0.93,7,305,4,0,0,1,0,0,1
312,0.4,0.54,2,139,3,0,0,1,0,1,0
334,0.1,0.81,6,290,4,0,0,1,0,0,1
341,0.37,0.47,2,141,3,0,0,1,0,0,1
345,0.1,0.86,6,278,4,0,0,1,1,0,0
348,0.11,0.84,7,264,4,0,0,1,0,0,1
355,0.41,0.57,2,136,3,0,0,1,0,1,0
356,0.41,0.55,2,154,3,0,0,1,0,1,0
359,0.09,0.91,6,275,4,0,0,1,0,1,0
361,0.76,0.9,4,263,5,0,0,1,0,1,0
362,0.41,0.54,2,145,3,0,0,1,0,1,0
366,0.1,0.83,6,258,4,0,0,1,0,1,0
367,0.4,0.56,2,131,3,0,0,1,0,1,0
373,0.36,0.57,2,142,3,0,0,1,0,0,1
379,0.77,0.93,4,231,5,0,0,1,0,0,1
384,0.36,0.48,2,156,3,0,0,1,1,0,0
395,0.45,0.46,2,128,3,0,0,1,0,1,0
398,0.87,0.83,4,265,6,0,0,1,0,1,0
403,0.92,0.93,5,240,5,0,0,1,0,1,0
410,0.28,0.45,6,218,4,0,0,1,0,1,0
419,0.82,0.85,4,223,5,0,0,1,0,0,1
421,0.1,0.94,6,287,4,0,0,1,0,0,1
422,0.86,1.0,5,257,5,0,0,1,0,0,1
430,0.89,0.65,5,195,6,0,0,1,0,1,0
438,0.77,0.9,4,237,5,0,0,1,0,1,0
446,0.44,0.46,2,143,3,0,0,1,0,1,0
449,0.81,0.92,5,239,5,0,0,1,0,1,0
450,0.81,0.9,4,226,5,0,0,1,0,0,1
451,0.85,0.98,5,248,5,0,0,1,0,0,1
456,0.86,0.93,5,223,5,0,0,1,0,0,1
468,0.9,0.92,5,245,5,0,0,1,0,1,0
476,0.11,0.87,5,271,4,0,0,1,0,1,0
477,0.09,0.79,6,275,4,0,0,1,0,1,0
493,0.1,0.94,6,309,4,0,0,1,0,0,1
506,0.83,0.98,4,259,5,0,0,1,0,0,1
508,0.38,0.55,2,158,3,0,0,1,0,1,0
514,0.83,0.96,5,275,5,0,0,1,0,1,0
515,0.88,1.0,5,219,6,1,0,1,0,1,0
522,0.1,0.95,7,289,4,0,0,1,0,1,0
524,0.75,0.99,5,221,5,0,0,1,0,1,0
528,0.09,0.8,6,301,5,0,0,1,0,0,1
533,0.43,0.51,2,136,3,0,0,1,0,0,1
538,0.87,1.0,5,261,5,1,0,1,0,0,1
542,0.77,0.91,5,236,5,0,0,1,0,0,1
553,0.79,1.0,5,257,6,0,0,1,0,1,0
561,0.37,0.53,2,131,3,0,0,1,0,1,0
567,0.1,0.97,6,282,4,0,0,1,0,0,1
571,0.73,1.0,4,252,5,0,0,1,0,0,1
572,0.75,0.97,5,243,6,0,0,1,0,0,1
574,0.37,0.49,2,151,3,0,0,1,0,0,1
580,0.44,0.51,2,145,3,0,0,1,0,1,0
583,0.44,0.56,2,145,3,0,0,1,0,0,1
584,0.41,0.56,2,154,3,0,1,1,0,0,1
597,0.11,0.9,6,263,4,0,0,1,0,1,0
609,0.1,0.85,7,279,4,0,0,1,0,0,1
610,0.09,0.95,7,256,4,0,0,1,0,0,1
611,0.39,0.53,2,127,3,0,0,1,0,0,1
616,0.39,0.49,2,144,3,0,0,1,0,0,1
633,0.38,0.56,2,154,3,0,0,1,0,1,0
636,0.44,0.53,2,140,3,0,0,1,0,1,0
645,0.4,0.54,2,141,3,0,0,1,0,0,1
648,0.45,0.54,2,129,3,0,0,1,0,0,1
650,0.39,0.45,2,134,3,0,0,1,0,0,1
663,0.1,0.79,6,256,5,0,0,1,0,1,0
665,0.75,0.85,5,267,5,0,0,1,0,1,0
674,0.46,0.5,2,157,3,0,0,1,0,1,0
675,0.43,0.57,2,127,3,0,0,1,0,1,0
680,0.1,0.83,6,269,4,0,0,1,0,1,0
682,0.11,0.87,7,278,4,0,0,1,0,1,0
689,0.87,1.0,4,228,5,0,0,1,0,0,1
696,0.1,0.81,7,291,4,0,0,1,1,0,0
699,0.38,0.45,2,156,3,0,0,1,0,0,1
700,0.46,0.54,2,143,3,0,0,1,0,0,1
701,0.89,0.82,4,243,5,0,0,1,0,0,1
714,0.4,0.51,2,144,3,0,0,1,0,1,0
719,0.8,1.0,5,260,5,0,0,1,0,1,0
721,0.31,0.87,4,184,3,0,0,1,0,1,0
728,0.43,0.49,2,160,3,0,0,1,0,0,1
729,0.09,0.83,6,282,4,0,0,1,0,0,1
732,0.85,0.58,3,226,2,0,0,1,0,0,1
734,0.11,0.92,7,255,4,0,0,1,0,0,1
739,0.11,0.85,7,275,4,0,0,1,0,0,1
742,0.44,0.49,2,154,3,0,0,1,0,1,0
744,0.39,0.52,2,134,3,0,0,1,0,1,0
745,0.11,0.78,6,245,4,0,0,1,0,1,0
749,0.86,0.84,4,246,6,0,0,1,0,1,0
756,0.77,0.92,5,235,5,0,0,1,0,1,0
767,0.44,0.54,2,127,3,0,0,1,0,0,1
771,0.1,0.86,6,309,4,0,0,1,0,0,1
775,0.39,0.57,2,158,3,0,0,1,0,1,0
782,0.72,1.0,4,245,5,0,0,1,0,1,0
805,0.36,0.62,4,237,2,0,0,1,0,0,1
807,0.86,1.0,5,227,5,0,0,1,0,0,1
809,0.11,0.97,7,310,4,0,0,1,0,0,1
810,0.84,0.93,5,236,5,0,0,1,0,0,1
812,0.38,0.49,2,127,3,0,0,1,0,0,1
816,0.84,0.97,5,251,5,0,0,1,0,0,1
831,0.73,1.0,5,274,5,0,0,1,0,1,0
834,0.89,1.0,4,260,5,0,0,1,0,1,0
836,0.43,0.56,2,133,3,0,0,1,0,1,0
856,0.1,0.85,6,273,4,0,0,1,0,0,1
863,0.39,0.55,2,146,3,0,0,1,0,1,0
864,0.1,0.94,6,260,4,0,0,1,0,1,0
866,0.41,0.46,2,128,3,0,0,1,0,1,0
881,0.89,1.0,5,253,5,0,0,1,0,0,1
883,0.37,0.51,2,128,3,0,0,1,0,0,1
886,0.41,0.51,2,127,3,0,0,1,0,0,1
889,0.11,0.79,6,281,4,0,0,1,0,0,1
911,0.43,0.51,2,140,3,0,0,1,0,1,0
917,0.38,0.55,2,145,3,0,0,1,0,1,0
919,0.82,0.86,4,264,5,0,0,1,0,0,1
923,0.44,0.5,2,156,3,0,0,1,0,0,1
930,0.32,0.58,5,271,5,0,0,1,1,0,0
936,0.1,0.95,7,301,4,0,0,1,0,1,0
938,0.1,0.89,6,246,4,0,0,1,0,1,0
