,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,left,salary_high,salary_low,salary_medium
69,0.43,0.5,2,135,3,0,0,1,0,0,1
108,0.71,0.87,3,177,4,0,0,1,0,0,1
110,0.43,0.47,2,144,3,0,0,1,0,0,1
126,0.38,0.49,2,132,3,0,0,1,0,1,0
200,0.9,0.82,5,259,5,0,0,1,0,1,0
212,0.88,1.0,5,219,5,0,0,1,0,1,0
233,0.42,0.56,2,134,3,0,0,1,0,1,0
294,0.1,0.93,6,253,4,0,0,1,0,0,1
301,0.12,1.0,3,278,4,0,0,1,0,0,1
316,0.43,0.47,2,135,3,0,0,1,0,1,0
319,0.4,0.46,2,130,3,0,0,1,0,1,0
327,0.88,0.99,5,262,6,0,0,1,0,1,0
348,0.11,0.84,7,264,4,0,0,1,0,0,1
426,0.74,0.92,4,261,5,0,0,1,0,0,1
648,0.45,0.54,2,129,3,0,0,1,0,0,1
710,0.64,0.9,6,252,2,0,0,1,0,1,0
718,0.91,1.0,5,244,6,0,0,1,0,1,0
719,0.8,1.0,5,260,5,0,0,1,0,1,0
751,0.46,0.45,2,138,3,0,1,1,0,1,0
826,0.1,0.93,6,269,4,0,0,1,0,1,0
847,0.79,0.94,5,227,6,0,0,1,0,0,1
854,0.79,0.9,5,263,5,0,0,1,0,0,1
862,0.41,0.47,2,154,3,0,0,1,0,1,0
884,0.38,0.5,2,153,3,0,0,1,0,0,1
898,0.11,0.77,7,273,4,0,0,1,0,1,0
916,0.11,0.82,6,304,4,1,0,1,0,1,0
917,0.38,0.55,2,145,3,0,0,1,0,1,0
1001,0.11,0.85,6,267,4,0,0,1,0,0,1
1008,0.87,0.9,4,256,5,0,0,1,1,0,0
1018,0.36,0.47,2,136,3,0,0,1,0,1,0
1076,0.09,0.79,6,276,4,0,0,1,0,0,1
1091,0.44,0.46,2,157,3,0,0,1,0,0,1
1144,0.43,0.45,2,140,3,0,0,1,0,1,0
1200,0.83,1.0,5,263,5,0,0,1,0,0,1
1226,0.4,0.48,2,142,3,0,0,1,0,1,0
1252,0.42,0.5,2,155,3,0,0,1,0,1,0
1331,0.09,0.86,6,297,4,0,0,1,0,1,0
1350,0.84,0.89,4,245,5,1,0,1,0,0,1
1367,0.4,0.45,2,140,3,0,0,1,0,1,0
1373,0.37,0.53,2,147,3,0,0,1,0,1,0
1381,0.9,0.84,5,221,5,0,0,1,0,1,0
1399,0.11,0.86,6,299,4,1,0,1,0,1,0
1402,0.84,0.86,5,240,5,0,0,1,0,0,1
1412,0.46,0.46,2,140,3,0,0,1,0,1,0
1416,0.11,0.85,6,295,4,0,0,1,0,1,0
1428,0.09,0.87,6,266,4,0,0,1,0,0,1
1430,0.43,0.52,2,156,3,0,0,1,0,0,1
1483,0.11,0.87,6,254,4,0,0,1,0,1,0
1487,0.45,0.52,2,147,3,0,0,1,0,1,0
1505,0.37,0.46,2,157,3,0,0,1,0,0,1
1530,0.83,0.98,4,249,5,0,0,1,0,1,0
1535,0.39,0.52,2,148,3,1,0,1,0,1,0
1566,0.1,0.96,6,274,4,0,0,1,0,1,0
1567,0.4,0.48,2,132,3,0,0,1,0,1,0
1624,0.89,1.0,4,217,5,0,0,1,0,0,1
1636,0.36,0.49,2,133,3,0,0,1,0,0,1
1639,0.42,0.46,2,135,3,0,0,1,0,1,0
1657,0.11,0.86,6,245,4,0,0,1,0,1,0
1663,0.37,0.46,2,130,3,1,0,1,0,0,1
1708,0.79,0.96,4,257,5,0,0,1,0,0,1
1790,0.44,0.55,2,156,3,0,0,1,0,0,1
1892,0.44,0.52,2,141,3,0,0,1,0,1,0
1897,0.1,0.94,7,264,4,0,0,1,0,0,1
1900,0.76,0.98,5,217,6,0,0,1,0,0,1
1920,0.37,0.49,2,148,3,0,0,1,0,1,0
1928,0.1,0.97,6,280,4,0,0,1,0,1,0
1947,0.72,0.84,5,257,5,0,0,1,0,0,1
1948,0.4,0.56,2,148,3,0,0,1,0,0,1
1970,0.53,0.76,5,132,6,0,0,1,0,1,0
1972,0.36,0.5,2,131,3,0,0,1,0,0,1
1974,0.36,0.48,2,152,3,0,0,1,0,0,1
1981,0.76,1.0,4,220,6,0,0,1,0,0,1
1992,0.15,0.63,7,229,3,0,0,1,0,1,0
2035,0.76,0.6,4,177,2,0,0,0,0,1,0
2054,0.85,0.6,3,182,3,0,0,0,0,0,1
2081,0.93,0.53,5,198,3,0,0,0,0,1,0
2113,0.98,0.55,4,255,2,0,0,0,0,1,0
2165,0.9,0.92,3,152,3,0,0,0,0,1,0
2268,0.96,0.67,6,190,3,0,0,0,0,1,0
2338,0.64,0.53,4,163,3,0,0,0,0,0,1
2423,0.86,0.58,3,151,2,0,0,0,0,1,0
2444,0.91,0.56,4,158,3,0,0,0,0,0,1
2456,0.53,0.67,4,238,2,0,0,0,0,0,1
2608,0.52,0.57,3,150,3,0,0,0,0,1,0
2614,0.88,0.6,4,224,2,0,0,0,0,1,0
2671,0.97,0.8,3,169,3,0,0,0,0,1,0
2681,0.89,0.67,3,226,3,0,0,0,0,0,1
2707,0.83,0.56,4,165,2,0,0,0,0,1,0
2712,0.92,0.84,5,264,3,0,0,0,0,0,1
2756,0.87,0.5,3,269,3,0,0,0,0,0,1
2775,0.5,0.95,5,194,3,0,0,0,0,1,0
2790,0.59,0.47,3,143,2,0,0,0,0,0,1
2821,0.22,0.52,5,147,5,1,0,0,0,1,0
2855,0.86,0.86,3,155,4,0,0,0,0,1,0
2905,0.69,0.9,2,155,2,0,0,0,0,1,0
2953,0.67,0.7,5,159,3,1,0,0,0,0,1
2954,0.98,0.96,5,139,3,0,0,0,0,0,1
3006,0.84,0.85,3,153,4,0,0,0,0,1,0
3012,0.73,0.93,5,167,3,0,0,0,0,1,0
3049,0.83,0.79,4,143,3,0,0,0,0,1,0
3056,0.48,0.54,2,144,3,0,0,0,0,1,0
3104,0.96,0.82,4,274,3,0,0,0,0,0,1
3106,0.45,0.39,2,167,3,0,0,0,0,0,1
3128,0.12,0.93,6,257,6,1,0,0,0,1,0
3136,0.91,0.54,3,210,2,0,0,0,0,1,0
3163,0.65,0.96,5,173,2,0,0,0,0,1,0
3177,0.57,0.82,5,218,3,0,0,0,0,0,1
3191,0.79,0.6,5,235,2,0,0,0,0,0,1
3199,0.18,0.52,5,185,6,0,0,0,1,0,0
3222,0.74,0.74,4,233,2,0,0,0,0,0,1
3230,0.91,0.42,2,142,3,1,0,0,0,0,1
3231,0.97,0.97,5,171,2,0,0,0,1,0,0
3271,0.55,0.51,4,155,3,0,0,0,0,1,0
3288,0.54,0.5,4,224,3,0,0,0,0,1,0
3302,0.7,0.77,2,235,3,1,0,0,0,0,1
3323,0.84,0.51,4,173,2,0,0,0,0,1,0
3372,0.97,0.52,4,231,3,0,0,0,0,1,0
3373,0.85,0.86,3,255,2,0,0,0,0,1,0
3404,0.74,0.91,2,264,3,0,0,0,0,1,0
3420,0.59,0.55,4,235,2,0,0,0,0,0,1
3607,0.64,0.66,3,188,4,0,0,0,0,0,1
3631,0.39,0.48,3,190,2,0,0,0,0,1,0
3650,0.72,1.0,3,197,3,0,0,0,0,0,1
3669,0.63,0.98,3,160,4,1,0,0,0,1,0
3691,0.79,0.93,5,160,4,1,0,0,0,0,1
3709,0.69,0.78,5,267,2,1,0,0,0,1,0
3719,0.57,0.45,3,189,2,0,0,0,0,0,1
3739,0.51,0.5,3,147,4,0,0,0,0,0,1
3752,0.54,0.48,3,152,2,0,0,0,0,1,0
3756,0.96,0.81,4,211,3,0,0,0,1,0,0
3794,0.65,0.7,3,141,4,0,0,0,0,1,0
3802,0.95,0.87,3,208,2,0,0,0,1,0,0
3831,0.94,0.71,4,151,2,1,0,0,0,1,0
3838,0.26,0.47,6,182,4,0,0,0,0,1,0
3839,0.78,0.87,3,190,3,0,0,0,0,1,0
3865,0.6,0.82,4,272,3,0,0,0,0,1,0
3875,0.54,0.84,3,132,3,0,0,0,0,1,0
3901,0.73,0.78,5,150,3,0,0,0,0,1,0
3928,0.7,0.91,5,139,3,1,0,0,0,0,1
3941,0.9,0.6,4,252,3,0,0,0,0,1,0
4028,0.78,0.72,3,255,4,1,0,0,0,1,0
4052,0.45,0.92,6,164,4,1,0,0,0,1,0
4074,0.68,0.81,5,266,2,0,0,0,0,0,1
4133,0.52,0.8,5,234,3,0,0,0,1,0,0
4140,0.65,0.8,4,164,4,0,0,0,0,1,0
4186,0.69,0.69,5,160,3,0,0,0,0,0,1
4197,0.67,0.66,6,152,3,0,0,0,0,0,1
4207,0.56,0.39,5,263,4,0,0,0,0,0,1
4223,0.16,0.51,3,262,6,0,0,0,0,1,0
4233,0.88,0.65,4,224,2,0,0,0,1,0,0
4235,0.85,0.51,3,153,4,0,0,0,0,0,1
4263,0.15,0.67,4,264,3,0,0,0,0,1,0
4292,0.5,0.97,4,269,3,0,0,0,0,1,0
4293,0.4,0.59,3,207,6,0,0,0,1,0,0
4307,0.61,0.98,3,138,5,1,0,0,0,0,1
4364,0.82,0.49,5,185,3,0,0,0,0,1,0
4415,0.65,0.55,5,215,2,0,0,0,0,1,0
4418,0.75,0.69,2,257,2,1,0,0,0,1,0
4423,0.84,0.55,3,242,3,0,0,0,0,0,1
4427,0.69,0.85,3,200,2,0,0,0,0,0,1
4477,0.83,0.9,3,195,3,0,0,0,0,1,0
4481,0.75,0.65,4,148,2,0,0,0,0,1,0
4522,0.9,0.56,3,220,3,0,0,0,0,1,0
4574,0.7,0.98,4,194,2,0,0,0,0,0,1
4604,0.93,0.68,3,272,2,1,0,0,0,1,0
4648,0.64,0.4,3,248,3,0,0,0,0,0,1
4652,0.45,0.58,3,200,2,0,0,0,0,0,1
4748,0.92,0.99,5,236,4,0,0,0,0,0,1
4773,0.85,0.57,5,190,2,1,0,0,0,0,1
4813,0.72,0.92,3,225,3,0,0,0,0,0,1
4815,0.92,0.56,4,170,3,0,0,0,0,0,1
4816,0.6,0.88,3,261,3,1,0,0,0,0,1
4823,0.77,0.74,5,263,2,0,0,0,0,0,1
