,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,left,salary_high,salary_low,salary_medium
4,0.37,0.52,2,159,3,0,0,1,0,1,0
23,0.46,0.57,2,139,3,0,0,1,0,1,0
28,0.41,0.46,2,128,3,0,0,1,0,1,0
36,0.38,0.46,2,137,3,0,0,1,0,1,0
43,0.1,0.8,7,281,4,0,0,1,0,1,0
66,0.43,0.54,2,153,3,0,0,1,0,0,1
72,0.45,0.49,2,149,3,0,0,1,1,0,0
78,0.43,0.56,2,157,3,0,0,1,0,1,0
90,0.4,0.5,2,130,3,0,0,1,0,1,0
93,0.46,0.55,2,129,3,0,0,1,0,1,0
100,0.38,0.52,2,154,3,0,0,1,0,0,1
102,0.42,0.46,2,150,3,0,0,1,0,0,1
109,0.4,0.49,2,155,3,0,0,1,0,0,1
115,0.37,0.48,2,137,3,0,0,1,0,0,1
118,0.37,0.57,2,133,3,0,0,1,0,1,0
122,0.75,1.0,4,216,6,0,0,1,0,1,0
130,0.1,0.83,6,292,4,0,0,1,0,1,0
133,0.44,0.51,2,138,3,0,0,1,0,1,0
142,0.11,0.8,6,256,4,0,0,1,0,1,0
154,0.39,0.48,2,160,3,0,0,1,0,1,0
156,0.83,1.0,5,240,5,0,0,1,0,1,0
159,0.45,0.45,2,132,3,0,0,1,0,1,0
175,0.54,0.74,4,164,2,0,0,1,0,1,0
177,0.38,0.5,2,140,3,0,0,1,0,0,1
179,0.11,0.85,6,308,5,0,0,1,0,0,1
202,0.76,1.0,5,219,5,0,0,1,0,1,0
209,0.38,0.52,2,153,3,0,0,1,0,1,0
215,0.36,0.51,2,155,3,0,0,1,0,1,0
216,0.36,0.48,2,158,3,0,0,1,0,1,0
222,0.37,0.51,2,153,3,0,0,1,0,1,0
234,0.48,0.57,4,270,4,0,0,1,0,1,0
236,0.4,0.53,2,151,3,0,0,1,0,1,0
259,0.11,0.84,6,287,4,0,0,1,0,0,1
279,0.82,0.81,4,233,4,1,0,1,0,1,0
283,0.1,0.93,6,289,4,1,0,1,0,1,0
287,0.11,0.79,6,292,4,0,1,1,0,1,0
290,0.4,0.46,2,128,3,0,0,1,0,1,0
301,0.12,1.0,3,278,4,0,0,1,0,0,1
305,0.45,0.47,2,135,3,0,0,1,0,0,1
310,0.1,0.93,7,305,4,0,0,1,0,0,1
318,0.11,0.94,6,276,4,0,0,1,0,1,0
319,0.4,0.46,2,130,3,0,0,1,0,1,0
342,0.9,1.0,5,232,5,0,0,1,0,0,1
343,0.41,0.56,2,143,3,0,0,1,0,0,1
344,0.37,0.52,2,155,3,0,0,1,0,0,1
351,0.48,0.93,3,219,6,0,0,1,0,1,0
356,0.41,0.55,2,154,3,0,0,1,0,1,0
359,0.09,0.91,6,275,4,0,0,1,0,1,0
371,0.36,0.51,2,135,3,0,0,1,0,1,0
379,0.77,0.93,4,231,5,0,0,1,0,0,1
401,0.76,0.92,4,246,5,0,0,1,0,1,0
408,0.91,0.92,4,246,5,0,0,1,0,1,0
440,0.41,0.48,2,139,3,0,0,1,0,1,0
460,0.43,0.49,2,135,3,0,0,1,0,0,1
463,0.8,0.85,4,273,5,0,0,1,0,1,0
486,0.38,0.49,2,135,3,0,0,1,0,1,0
488,0.1,0.83,7,276,4,0,0,1,0,1,0
501,0.66,0.57,5,161,5,0,0,1,1,0,0
502,0.11,0.87,7,282,5,0,0,1,0,1,0
504,0.78,0.83,4,217,6,0,0,1,0,0,1
508,0.38,0.55,2,158,3,0,0,1,0,1,0
511,0.53,0.85,2,164,5,0,0,1,0,1,0
514,0.83,0.96,5,275,5,0,0,1,0,1,0
520,0.87,0.94,4,274,5,0,0,1,0,1,0
528,0.09,0.8,6,301,5,0,0,1,0,0,1
544,0.43,0.49,2,135,3,0,0,1,0,0,1
545,0.78,1.0,5,236,5,0,0,1,0,0,1
546,0.37,0.47,2,149,3,0,0,1,0,1,0
557,0.43,0.57,2,157,3,0,0,1,0,1,0
559,0.11,0.8,7,296,4,0,0,1,0,1,0
565,0.79,0.58,3,294,4,0,0,1,0,1,0
575,0.39,0.49,2,129,3,0,0,1,0,0,1
577,0.57,0.72,4,275,6,0,0,1,0,0,1
615,0.1,0.88,7,267,4,0,0,1,0,0,1
617,0.83,0.95,4,251,5,0,0,1,0,0,1
620,0.8,0.75,3,268,2,0,0,1,0,0,1
624,0.38,0.5,2,140,3,0,0,1,0,1,0
628,0.72,0.85,5,244,6,0,0,1,0,1,0
648,0.45,0.54,2,129,3,0,0,1,0,0,1
650,0.39,0.45,2,134,3,0,0,1,0,0,1
657,0.43,0.55,2,130,3,0,0,1,1,0,0
659,0.77,0.91,5,221,6,0,0,1,0,0,1
665,0.75,0.85,5,267,5,0,0,1,0,1,0
684,0.42,1.0,3,202,3,0,0,1,0,0,1
694,0.78,0.71,3,249,5,0,0,1,0,0,1
705,0.45,0.54,2,152,3,0,0,1,0,1,0
729,0.09,0.83,6,282,4,0,0,1,0,0,1
731,0.79,0.94,4,232,5,0,0,1,0,0,1
737,0.42,0.56,2,143,3,0,0,1,0,0,1
740,0.1,0.89,7,291,4,0,0,1,0,0,1
765,0.09,0.87,3,214,2,0,0,1,0,0,1
770,0.1,0.83,6,300,4,0,0,1,0,0,1
771,0.1,0.86,6,309,4,0,0,1,0,0,1
777,0.11,0.93,6,294,4,0,0,1,0,0,1
779,0.11,0.9,7,247,4,0,0,1,0,0,1
782,0.72,1.0,4,245,5,0,0,1,0,1,0
787,0.39,0.46,2,156,3,0,0,1,0,1,0
793,0.91,0.89,4,247,5,0,0,1,0,1,0
795,0.43,0.54,2,150,3,0,0,1,0,1,0
800,0.91,0.97,4,251,6,0,0,1,0,1,0
820,0.11,0.93,7,284,4,0,0,1,0,1,0
834,0.89,1.0,4,260,5,0,0,1,0,1,0
840,0.36,0.56,2,138,3,0,0,1,0,0,1
841,0.11,0.85,6,299,4,0,0,1,0,0,1
871,0.87,0.94,4,260,5,0,0,1,0,1,0
873,0.78,1.0,5,220,5,0,0,1,0,1,0
888,0.11,0.83,6,295,4,0,0,1,0,0,1
891,0.75,0.86,5,237,5,0,0,1,1,0,0
892,0.74,0.99,4,276,5,0,0,1,0,1,0
910,0.79,0.98,4,271,5,0,0,1,0,1,0
932,0.42,0.52,2,151,3,0,0,1,0,0,1
940,0.92,0.92,4,245,5,0,0,1,0,1,0
943,0.81,1.0,5,235,5,0,0,1,0,1,0
956,0.46,0.53,2,143,3,1,0,1,0,1,0
961,0.73,0.83,5,270,5,1,0,1,0,0,1
962,0.41,0.45,2,150,3,0,0,1,0,0,1
969,0.41,0.48,2,130,3,0,0,1,1,0,0
970,0.38,0.46,2,147,3,0,0,1,0,1,0
989,0.4,0.46,2,144,3,0,0,1,0,1,0
992,0.45,0.57,2,151,3,0,0,1,0,1,0
997,0.86,0.94,5,224,5,0,0,1,0,0,1
1010,0.43,0.53,2,152,3,0,0,1,0,0,1
1018,0.36,0.47,2,136,3,0,0,1,0,1,0
1021,0.8,0.95,3,146,5,0,0,1,0,1,0
1033,0.42,0.56,2,158,3,0,0,1,0,1,0
1045,0.4,0.57,2,128,3,0,0,1,0,0,1
1049,0.74,0.89,5,232,6,0,0,1,0,0,1
1058,0.31,0.95,6,235,5,0,0,1,0,1,0
1072,0.53,0.95,6,205,4,0,0,1,0,1,0
1079,0.86,0.95,5,269,6,0,0,1,0,0,1
1100,0.11,0.83,6,262,4,0,0,1,0,1,0
1102,0.43,0.47,2,130,3,0,0,1,0,1,0
1106,0.44,0.57,2,139,3,0,0,1,0,1,0
1115,0.42,0.46,2,131,3,0,0,1,0,0,1
1126,0.88,0.87,4,235,6,0,0,1,0,1,0
1138,0.09,0.92,6,303,5,0,0,1,0,1,0
1162,0.35,0.8,6,281,2,0,0,1,0,0,1
1166,0.42,0.54,2,135,3,0,0,1,0,0,1
1182,0.91,0.9,4,245,5,0,0,1,0,1,0
1184,0.46,0.45,2,143,3,0,0,1,0,1,0
1186,0.11,0.96,6,262,4,1,0,1,0,1,0
1187,0.1,0.93,6,299,4,0,0,1,0,1,0
